ind,lon,lat,type,five_types,image_id_1
29,-122.0979663,69.23854259,23,2,20230704T195859_20230704T200519_T10WEB
30,-51.79932144,66.52482676,33,4,20190723T150921_20190723T150916_T22WDU
31,-22.50421273,80.04858418,3,1,20230704T154941_20230704T154939_T26XNP
32,106.4728917,72.4885524,23,2,20230807T052651_20230807T052649_T48XWF
33,-74.87552445,60.97912982,23,2,20200805T162839_20200805T163611_T18VWN
34,-172.5199508,65.14308814,24,2,20220618T230541_20220618T230542_T02WMT
35,-99.12370958,71.65933711,31,3,20230718T184921_20230718T184921_T13WFV
36,-52.22478398,68.12444896,32,3,20190723T150921_20190723T150916_T21WXR
37,-162.660323,68.44896831,23,2,20210804T225539_20210804T225533_T03WWS
38,-123.931297,69.15009374,23,2,20230625T201851_20230625T201851_T09WXS
39,-83.45685985,68.56640271,31,3,20220619T172911_20220619T172910_T16WFB
40,179.2698834,65.82521763,24,2,20220801T233659_20220801T233653_T60WWU
41,-90.7651349,67.63403537,2,1,20230727T173911_20230727T173908_T15WWR
42,-80.7615897,63.66460802,1,1,20220720T165901_20220720T170052_T17VNL
43,51.92474724,67.97570763,34,4,20230715T083601_20230715T083741_T39WWR
44,-93.4270736,67.89847557,2,1,20230808T181921_20230808T181920_T15WVR
45,-153.3209275,69.68369462,24,2,20200709T223541_20200709T223536_T05WMT
46,-156.1434038,69.63622895,33,4,20200709T223541_20200709T223536_T04WFC
47,-65.66021023,81.39467311,1,1,20220716T204031_20220716T204030_T19XEL
48,-91.67186408,75.78421351,1,1,20230717T191911_20230717T191913_T15XWE
49,155.8199197,70.18510392,34,4,20220615T015659_20220615T015656_T56WPC
50,-102.3035333,63.21049138,24,2,20230803T181919_20230803T181956_T14VLR
51,-92.6493288,65.29430596,2,1,20230727T173911_20230727T173908_T15WWN
52,-152.7344425,68.15616215,33,4,20190708T215539_20190708T215537_T05WNR
53,-90.86652504,64.21223799,2,1,20220617T173909_20220617T173932_T15WWM
54,-124.1128114,73.37685791,22,2,20230731T203841_20230731T203844_T10XDG
55,-99.28567703,66.82381126,2,1,20220617T182931_20220617T182946_T14WMV
56,-88.79057466,69.00481826,2,1,20220705T174921_20220705T174921_T15WXS
57,-73.66866463,60.70579076,2,1,20200805T162839_20200805T163611_T18VWN
58,-21.83863065,74.52892728,1,1,20230808T140739_20230808T140753_T27XVC
59,-82.8957455,71.44909594,1,1,20230728T175919_20230728T175916_T16WFE
60,57.6525565,80.72861319,1,1,20190706T110629_20190706T110628_T40XEQ
61,128.4115028,70.78902567,31,3,20210730T033539_20210730T033722_T51WXU
62,-103.1326635,65.18672889,5,1,20230727T182929_20230727T182923_T13WEN
63,90.544685,74.8193621,23,2,20230704T063629_20230704T063629_T46XDJ
64,-94.17307507,65.46677068,2,1,20200723T175919_20200723T180326_T15WVN
65,-70.26204123,68.86993919,2,1,20220706T162839_20220706T162838_T18WXB
66,-106.6304117,66.16689001,23,2,20230630T183929_20230630T183923_T12WXU
67,-89.118596,65.85190028,2,1,20220722T173911_20220722T173914_T16WDU
68,-61.90413286,66.50034032,1,1,20230626T153819_20230626T153935_T20WNU
69,-93.75436464,67.46788261,2,1,20220616T180919_20220616T181222_T15WVQ
70,63.3813011,68.39533018,33,4,20230801T073619_20230801T073618_T41WNR
71,-85.74934543,75.27818996,1,1,20230723T184929_20230723T184923_T16XEJ
72,-125.1272693,69.60520292,22,2,20230625T201851_20230625T201851_T09WXT
73,-123.7575775,68.70882074,23,2,20230625T201851_20230625T201851_T10WDB
74,87.10719511,73.00898297,23,2,20230729T063631_20230729T063647_T45XWB
75,-107.8997027,75.6542415,1,1,20230717T200859_20230717T200857_T13XDE
76,-93.94518623,71.62171229,2,1,20220806T182931_20220806T182928_T14WPE
77,-84.43077533,68.84451878,31,3,20220809T174909_20220809T174911_T16WFB
78,-82.26758815,79.35700909,1,1,20220716T185931_20220716T185929_T16XEP
79,-76.28640274,67.78285468,31,3,20220622T164849_20220622T165013_T18WVA
80,-105.9344002,64.0306299,23,2,20230727T182929_20230727T182923_T13WDM
81,19.07281439,80.02458579,3,1,20190621T142751_20190621T142748_T33XWJ
82,-175.4278998,67.28774084,24,2,20230629T232641_20230629T232636_T01WEQ
83,86.69691547,73.71246365,22,2,20230812T070629_20230812T070626_T45XVB
84,-105.3288214,64.65373958,5,1,20230727T182929_20230727T182923_T13WDM
85,-52.90816684,69.93066085,31,3,20190801T153911_20190801T154113_T22WDC
86,-80.9301085,82.00660279,4,1,20230717T200859_20230717T200857_T16XES
87,-52.25747489,68.37742597,33,4,20230726T153819_20230726T153828_T22WDA
88,178.5690041,66.42641965,31,3,20230717T000619_20230717T000616_T60WWU
89,-27.59298949,70.62783464,1,1,20200726T140021_20200726T140020_T25WFU
90,-107.0326394,66.59595578,5,1,20230630T183929_20230630T183923_T12WXU
91,-69.785186,82.39467844,1,1,20190630T195901_20190630T195911_T18XWS
92,119.6502413,71.68864422,33,4,20230809T042711_20230809T042707_T50WNE
93,-95.5044941,64.66817296,32,3,20220708T175921_20220708T180402_T14WPS
94,47.87926661,67.18875824,33,4,20220630T083611_20220630T083613_T38WPV
95,79.31462631,69.1747763,33,4,20230804T065631_20230804T065625_T44WMB
96,174.6367363,68.3186945,31,3,20220802T002621_20220802T002618_T59WPR
97,-161.5815725,70.17593224,23,2,20190616T225539_20190616T225539_T03WXT
98,-112.6626762,67.63816454,23,2,20220630T192909_20220630T192953_T11WPR
99,-148.9721304,69.21128191,24,2,20210712T215531_20210712T215532_T05WPS
100,-68.02633046,69.90043587,2,1,20220709T163839_20220709T163842_T19WET
101,-82.87837233,71.05339732,31,3,20200723T175919_20200723T180326_T17WMU
102,-148.1323949,68.06277993,3,1,20210712T215531_20210712T215532_T06WVA
103,-102.9014956,63.21313325,5,1,20230803T181919_20230803T181956_T14VLR
104,50.03857134,67.85087717,23,2,20230715T083601_20230715T083741_T39WVR
105,-68.43040699,63.76771694,32,3,20230807T161829_20230807T162024_T19VEL
106,-93.23319469,68.99402586,23,2,20230729T181921_20230729T182413_T15WVS
107,-114.9373422,68.34964721,31,3,20230625T192909_20230625T192950_T11WNR
108,-110.3231368,75.19953018,1,1,20220801T200859_20220801T201157_T12XWJ
109,142.276786,72.66324128,42,5,20220726T030529_20220726T030526_T54XWF
110,178.072181,66.85220579,33,4,20230812T235619_20230812T235619_T60WWV
111,-179.2299418,66.4133423,31,3,20230717T233649_20230717T233652_T01WDP
112,81.46623147,72.96813771,23,2,20230731T071621_20230731T071826_T44XNF
113,-104.911912,67.73834319,23,2,20230621T185921_20230621T190517_T13WER
114,-53.22587246,69.44472824,33,4,20190801T153911_20190801T154113_T22WDC
115,-70.70074076,63.36640543,2,1,20200812T161829_20200812T161832_T19VDL
116,-93.34104268,73.27489795,1,1,20230723T184929_20230723T184923_T15XVB
117,-78.28130552,81.09109263,21,2,20200727T191919_20200727T191913_T18XVR
118,101.668774,79.00024284,1,1,20210728T075609_20210728T075610_T48XVN
119,-103.6750914,79.25703194,1,1,20230714T205031_20230714T205127_T14XMP
120,-110.751442,66.69119573,5,1,20200801T191921_20200801T191916_T12WWV
121,72.29847897,70.80341281,23,2,20230806T073621_20230806T073618_T42WXD
122,123.706014,72.00226843,43,5,20230808T040549_20230808T040559_T51WWV
123,-85.93751901,70.86973853,31,3,20220805T180919_20220805T181200_T16WED
124,-113.8529803,76.11117698,1,1,20230726T203849_20230726T203844_T12XVK
125,-72.46337984,66.43456027,42,5,20220621T162911_20220621T163228_T18WXU
126,149.5965755,69.70719259,24,2,20220710T015711_20220710T015705_T55WFT
127,64.63591875,69.35627969,23,2,20230801T073619_20230801T073618_T41WNS
128,172.3687094,66.60953654,33,4,20220809T001621_20220809T001621_T59WNP
129,-173.0149099,66.54204029,24,2,20220803T232641_20220803T232644_T02WMU
130,-179.911444,66.56244895,3,1,20190711T234629_20190711T234631_T01WCP
131,-54.39733647,81.69716042,1,1,20220724T195911_20220724T195906_T21XWL
132,-163.1656075,62.34331243,33,4,20190707T222539_20190707T222541_T03VWK
133,-116.064944,71.95502333,31,3,20220726T194909_20220726T194905_T11WNV
134,-143.4173465,69.07513197,3,1,20210719T214531_20210719T214533_T06WXB
135,68.40209018,66.80242941,33,4,20230803T072621_20230803T072620_T42WVV
136,81.9914114,71.32704027,23,2,20230804T065631_20230804T065625_T44WNE
137,90.06732756,74.64764263,23,2,20230805T062631_20230805T062632_T45XWC
138,-94.7399026,60.84552259,33,4,20190721T174911_20190721T175654_T15VVH
139,58.24233958,66.91374629,33,4,20230812T075611_20230812T075613_T40WEV
140,141.4468981,75.63360972,1,1,20220721T030531_20220721T030532_T54XWJ
141,144.2918776,71.64725795,24,2,20220722T023541_20220722T023539_T55WDV
142,-72.68710297,58.9792315,33,4,20200728T161911_20200728T162525_T18VXL
143,81.96977398,67.97637956,34,4,20230813T063629_20230813T063748_T44WNA
144,-118.3796493,77.14483387,1,1,20230726T213041_20230726T213044_T11XMF
145,179.5041402,66.98393761,24,2,20180706T234619_20180706T234621_T01WCQ
146,-85.41325838,64.14021732,31,3,20220618T170849_20220618T171540_T16WES
147,-74.40100419,61.72111828,23,2,20200701T162901_20200701T163214_T18VWP
148,-173.7974653,65.42353623,24,2,20200711T231601_20200711T231557_T01WFN
149,89.13194855,71.5177309,23,2,20230802T061641_20230802T061646_T45WWV
150,-114.5766753,71.60646709,31,3,20220726T194909_20220726T194905_T11WNV
151,-155.7396588,68.97972819,24,2,20200719T223541_20200719T223537_T04WFB
152,-73.88119125,65.32068443,32,3,20220726T162839_20220726T163428_T18WWT
153,55.99586987,73.10224822,3,1,20220717T082611_20220717T082621_T40XDG
154,81.08750857,69.39804643,23,2,20230813T063629_20230813T063748_T44WMC
155,142.5999144,71.65027085,24,2,20200718T025551_20200718T025549_T54WWE
156,178.3563113,69.19293304,24,2,20230708T235621_20230708T235619_T01WCS
157,54.98894782,67.67915968,23,2,20230812T075611_20230812T075613_T39WXR
158,-115.4110163,68.71025333,31,3,20230708T193909_20230708T193908_T11WNS
159,59.29321392,70.30152781,22,2,20230713T075611_20230713T075613_T40WED
160,-121.3232861,72.23190748,22,2,20220731T204029_20220731T204023_T10XEF
161,-65.49820577,82.62202046,4,1,20220801T200859_20220801T200857_T19XEM
162,-21.33566248,77.44279619,32,3,20230627T150809_20230627T150959_T27XVF
163,-95.0712418,62.46966933,23,2,20230730T174911_20230730T175418_T15VUK
164,-86.22101816,71.36052414,31,3,20230728T175919_20230728T175916_T16WEE
165,-173.1467522,64.38884986,3,1,20200711T231601_20200711T231557_T01WFM
166,85.35284117,74.52386651,22,2,20230805T071619_20230805T071622_T45XVC
167,-105.9853213,64.98305505,5,1,20230727T182929_20230727T182923_T13WDN
168,91.90688401,74.82066937,23,2,20230704T063629_20230704T063629_T46XDJ
169,58.8600883,70.3392025,22,2,20230713T075611_20230713T075613_T40WED
170,-104.0622965,65.83712432,5,1,20230630T183929_20230630T183923_T13WEP
171,75.80917662,68.8602243,43,5,20230802T070629_20230802T070625_T43WES
172,-65.98802035,64.41686985,3,1,20220622T155921_20220622T160005_T19WFM
173,-90.9303625,79.4616968,1,1,20200708T202849_20200708T202846_T16XDP
174,-88.41764608,76.94462461,21,2,20220731T185919_20220731T185921_T16XDL
175,-88.5178233,65.11931171,2,1,20210722T173909_20210722T174343_T16WDT
176,-97.75177915,72.59771967,21,2,20230718T184921_20230718T184921_T14XNF
177,47.2582501,66.43339515,33,4,20210702T082601_20210702T082955_T38WPU
178,-95.70449979,73.11019756,1,1,20230718T184921_20230718T184921_T14XNG
179,22.84421172,78.14160216,1,1,20230707T123701_20230707T123846_T35XMG
180,96.93605198,73.71053103,23,2,20230807T061639_20230807T061635_T47XMB
181,-91.84089224,75.12074651,1,1,20230728T184921_20230728T184922_T15XWD
182,-69.88201594,60.63071115,23,2,20220811T155921_20220811T155915_T19VDH
183,176.3187644,65.2969742,24,2,20230717T000619_20230717T000616_T60WVT
184,174.8706956,66.19013347,31,3,20230717T000619_20230717T000616_T60WVU
185,92.47987335,71.42030868,33,4,20230728T061639_20230728T061848_T46WDE
186,-82.85201481,67.59720908,32,3,20220623T170901_20220623T170903_T17WMQ
187,-108.7552988,76.23347295,21,2,20230717T200859_20230717T200857_T13XDE
188,15.82674894,76.84713647,31,3,20230705T115651_20230705T115826_T33XWF
189,-112.0366853,64.99396414,33,4,20200801T191921_20200801T191916_T12WVT
190,-160.4214936,61.63925445,33,4,20210802T221529_20210802T221532_T04VDP
191,112.7450484,74.43747935,22,2,20230705T051651_20230705T051654_T49XEC
192,140.9122522,73.58377474,22,2,20230810T030529_20230810T030527_T54XVG
193,-93.26374534,68.06738441,2,1,20230808T181921_20230808T181920_T15WVR
194,-136.5981461,68.20748693,31,3,20230624T205021_20230624T205024_T07WFR
195,71.5495742,68.82339024,23,2,20230805T071619_20230805T071622_T42WWB
196,-103.3596623,67.31685282,33,4,20220617T182931_20220617T182946_T13WEQ
197,-144.041842,69.08552342,3,1,20210719T214531_20210719T214533_T06WXB
198,-161.9337272,65.95744019,24,2,20210712T224539_20210712T224533_T03WXP
199,-102.5020089,69.02796098,22,2,20220621T185919_20220621T185921_T13WES
200,-107.6472081,66.88248839,33,4,20220726T185931_20220726T185926_T12WXV
201,149.7172372,70.17663569,33,4,20220710T015711_20220710T015705_T55WFT
202,-87.55045741,66.90835241,2,1,20220722T173911_20220722T173914_T16WDV
203,-163.1793737,60.39639643,43,5,20220810T222539_20220810T222536_T03VXH
204,67.5317493,70.82628623,22,2,20230801T073619_20230801T073618_T42WVD
205,133.3812447,71.23187376,24,2,20230809T033539_20230809T033540_T53WMV
206,64.25565248,69.39143026,23,2,20230801T073619_20230801T073618_T41WNS
207,107.9544923,76.40220241,1,1,20230807T061639_20230807T061635_T49XDE
208,-116.7355348,72.35868109,22,2,20230719T195901_20230719T195859_T11XNA
209,92.70461979,74.13061448,31,3,20230726T062631_20230726T062632_T46XDH
210,-107.0576108,63.74154192,33,4,20200801T182919_20200801T182920_T12VXR
211,-94.03197992,64.4645526,2,1,20200723T175919_20200723T180326_T15WVM
212,-176.057164,67.22379519,42,5,20230629T232641_20230629T232636_T01WEQ
213,155.4643106,69.90794386,24,2,20220729T013659_20220729T013658_T56WNC
214,-64.51601764,59.58730747,31,3,20220728T153559_20220728T153601_T20VMM
215,-149.442768,68.79351154,23,2,20210712T215531_20210712T215532_T05WPS
216,-68.07420963,63.61180674,41,5,20230807T161829_20230807T162024_T19VEL
217,-26.96656525,70.97314682,1,1,20200701T135739_20200701T135733_T26WND
218,-73.40480165,60.25740208,32,3,20220615T160911_20220615T161223_T18VWM
219,83.80657141,73.26880445,23,2,20230804T065631_20230804T065625_T44XNG
220,-71.57635658,60.86116014,2,1,20230630T160901_20230630T160904_T18VXN
221,117.8172937,73.19267403,23,2,20230807T043709_20230807T043705_T50XNG
222,-122.2957864,68.24023096,22,2,20210721T194859_20210721T194902_T10WEA
223,-88.98512334,79.83172255,1,1,20200708T212041_20200708T212040_T16XDP
224,-83.0940869,66.49978277,2,1,20220621T171859_20220621T171858_T17WMP
225,169.3099914,67.35719726,33,4,20230708T002611_20230708T002610_T58WFV
226,-112.9915101,69.30382865,31,3,20220703T193909_20220703T193907_T12WVB
227,-163.1474051,69.2897039,24,2,20210804T225539_20210804T225533_T03WWS
228,-107.2931941,71.21932993,1,1,20220619T190931_20220619T190925_T13WDV
229,-83.31142848,68.64295255,31,3,20220619T172911_20220619T172910_T16WFB
230,70.20006196,71.65584733,43,5,20230806T073621_20230806T073618_T42WWE
231,-75.19223242,61.522239,23,2,20230709T163841_20230709T164435_T18VVP
232,-95.19929176,60.90871108,33,4,20200801T173911_20200801T174636_T14VPN
233,60.43197028,75.14151813,1,1,20190703T082611_20190703T082607_T41XMD
234,-82.80740462,72.9135309,3,1,20230727T173911_20230727T173908_T16XFF
235,-163.3031056,68.87720809,24,2,20210804T225539_20210804T225533_T03WWS
236,59.25623471,68.17691219,33,4,20230812T075611_20230812T075613_T40WEA
237,177.4317261,69.41837494,33,4,20220712T000619_20220712T000615_T60WWC
238,-94.85693649,79.89625991,21,2,20220801T215059_20220801T215107_T15XVJ
239,-84.4239409,77.01463463,21,2,20220716T185931_20220716T190153_T17XMF
240,-121.2818819,68.20186593,22,2,20210721T194859_20210721T194902_T10WEA
241,-162.9334933,65.76480548,34,4,20190707T222539_20190707T222541_T03WWP
242,59.91482926,68.65341461,33,4,20220730T074619_20220730T074616_T40WFB
243,-89.89593949,65.04483742,31,3,20200724T172859_20200724T173118_T15WXN
244,-70.75852025,78.46441036,31,3,20220801T182919_20220801T183009_T18XWN
245,-93.68242683,73.27784616,1,1,20230723T184929_20230723T184923_T15XVB
246,-22.87915071,72.35045024,1,1,20210730T133729_20210730T133724_T27XVA
247,173.8687872,68.91501075,33,4,20220731T003609_20220731T003610_T59WPS
248,-156.0581996,67.08804666,34,4,20210713T221539_20210713T221533_T04WFV
249,-94.06266358,73.95344468,1,1,20230728T184921_20230728T184922_T15XVC
250,-98.38061322,65.37624114,2,1,20200721T180921_20200721T181305_T14WNT
251,-86.58732065,68.2658733,22,2,20220622T173921_20220622T174038_T16WEA
252,168.4507382,68.76684541,24,2,20230714T004651_20230714T004647_T58WFB
253,69.11076757,71.45666679,22,2,20230806T073621_20230806T073618_T42WWE
254,-92.7066014,68.73855672,23,2,20220724T181931_20220724T181926_T15WWS
255,-53.24655703,67.73683976,33,4,20230726T153819_20230726T153828_T22WDA
256,-113.771719,72.10121902,31,3,20220801T200859_20220801T201157_T11XPA
257,-105.8441873,71.74021217,31,3,20220619T190931_20220619T190925_T13WDV
258,176.1298596,69.09852907,3,1,20230623T002609_20230623T002609_T59WPS
259,54.79799899,74.06715233,21,2,20220719T090611_20220719T090606_T40XDH
260,68.18980619,68.08145296,23,2,20230803T072621_20230803T072620_T42WVA
261,-116.0901847,77.35726336,1,1,20220803T205029_20220803T205025_T11XNF
262,-105.7853643,73.57959713,1,1,20220618T193911_20220618T193914_T13XDB
263,-21.80140949,77.28527359,31,3,20230627T150809_20230627T150959_T27XVF
264,-80.1818711,73.27497643,32,3,20220712T173921_20220712T174028_T17XNB
265,-106.0451219,67.13734446,5,1,20230621T185921_20230621T190517_T13WDQ
266,16.41870838,78.01497436,32,3,20230706T121649_20230706T121651_T33XWG
267,-92.67502401,65.92933234,2,1,20220722T173911_20220722T173914_T15WWP
268,-82.95962067,71.8004974,2,1,20230728T175919_20230728T175916_T16WFE
269,-23.77659279,76.74287513,1,1,20230627T150809_20230627T150959_T27XVF
270,-76.508176,58.85772725,33,4,20200805T162839_20200805T163611_T18VVL
271,-144.2144194,69.84131021,23,2,20220803T214541_20220803T214540_T06WWC
272,-37.28277106,65.85968233,3,1,20220805T135741_20220805T140024_T24WWU
273,-113.0699353,71.51368818,1,1,20220618T193911_20220618T193914_T12WVE
274,88.12439852,75.12045242,1,1,20230705T065631_20230705T065625_T45XWD
275,79.23766339,69.02978908,33,4,20230804T065631_20230804T065625_T44WMB
276,-65.40809374,67.66496605,1,1,20230717T155911_20230717T155906_T19WFR
277,77.95640149,70.20466614,23,2,20230801T064631_20230801T064629_T43WFT
278,168.7960086,67.92481831,33,4,20230714T004651_20230714T004647_T59WMR
279,-94.62550587,61.83749907,23,2,20220727T173909_20220727T173908_T15VVJ
280,-67.37060799,64.8358229,1,1,20220622T155921_20220622T160005_T19WEM
281,-93.78359025,80.99589852,1,1,20220726T204031_20220726T204028_T14XNQ
282,-70.54202099,61.02095985,2,1,20220811T155921_20220811T155915_T19VDH
283,-63.89006901,57.67435236,31,3,20200805T153911_20200805T154513_T20VMK
284,78.50603461,70.13279301,43,5,20230801T064631_20230801T064629_T43WFT
285,-112.7366554,76.05096047,1,1,20230726T203849_20230726T203844_T12XVK
286,-120.0220107,76.3611383,31,3,20230617T210031_20230617T210027_T11XME
287,-122.2360329,74.32199053,1,1,20220718T202849_20220718T202849_T10XEH
288,-86.06096832,66.80074697,2,1,20220722T173911_20220722T173914_T16WEV
289,-88.34102834,72.85077062,1,1,20230717T182919_20230717T183240_T15XXA
290,-108.6074221,66.21074384,5,1,20230803T190921_20230803T191504_T12WXU
291,-161.9058576,69.32911851,24,2,20230812T230531_20230812T230534_T03WXS
292,-94.87927378,69.91389464,31,3,20230729T181921_20230729T182413_T14WPC
293,110.412491,72.71005034,24,2,20230806T050659_20230806T050656_T49XDA
294,-106.4740716,65.03512323,5,1,20210625T183921_20210625T184454_T13WDN
295,110.6082074,76.09185746,31,3,20230807T052651_20230807T052649_T49XDE
296,-111.6444351,75.3307205,31,3,20220801T200859_20220801T201157_T12XVJ
297,-81.95605665,68.73388596,2,1,20220619T172911_20220619T172910_T16WFB
298,-111.5809942,66.83479445,5,1,20220801T191921_20220801T191921_T12WVV
299,-153.3118045,69.30358101,24,2,20200621T222539_20200621T222535_T05WMS
300,-164.2321207,64.67536613,23,2,20210712T224539_20210712T224533_T03WWM
301,87.51044708,73.58782848,41,5,20230729T063631_20230729T063647_T45XWB
302,-13.19413195,81.08649073,1,1,20230714T145759_20230714T145908_T29XML
303,-154.4881421,68.87468172,33,4,20200621T222539_20200621T222535_T05WMS
304,101.6415877,75.02733052,23,2,20230808T054639_20230808T054641_T47XND
305,-94.31650761,69.7009052,2,1,20230729T181921_20230729T182413_T14WPC
306,-121.9529785,67.97737902,22,2,20210721T194859_20210721T194902_T10WEA
307,89.40403703,70.88985321,23,2,20230805T062631_20230805T062632_T45WWU
308,-64.88265586,66.59574434,3,1,20220723T161839_20220723T162051_T20WMU
309,-102.6261873,66.88629973,33,4,20220617T182931_20220617T182946_T13WFQ
310,-93.1777075,76.50324722,1,1,20220731T185919_20220731T185921_T15XVE
311,164.5191816,68.85572357,33,4,20230813T004651_20230813T004647_T58WDB
312,-85.46912652,64.98386286,31,3,20220624T172909_20220624T173113_T16WET
313,-78.32674405,71.56344225,1,1,20230727T173911_20230727T173908_T17WNV
314,-112.5274552,66.23947495,5,1,20230711T185921_20230711T185921_T11WPP
315,-121.2816987,72.42085036,22,2,20220731T204029_20220731T204023_T10XEF
316,71.61929141,71.90014902,22,2,20230806T073621_20230806T073618_T42WWE
317,-22.84551175,70.94125489,32,3,20210730T133729_20210730T133724_T27WVU
318,-33.47192116,67.58330158,1,1,20210617T141951_20210617T141951_T25WDQ
319,-160.0227004,59.31025405,34,4,20210713T221539_20210713T221533_T04VDL
320,-72.7746522,66.667489,42,5,20220622T164849_20220622T165013_T18WWV
321,-158.1646015,70.19556493,23,2,20220710T225539_20220710T225536_T04WEC
322,-84.79612351,65.11565492,32,3,20220810T171859_20220810T172432_T16WFT
323,14.85096901,78.01319009,1,1,20230705T124709_20230705T124718_T33XVG
324,-70.01859168,63.85052594,31,3,20200812T161829_20200812T161832_T19VDL
325,-72.69595465,64.57578823,32,3,20220621T162911_20220621T163228_T18WXS
326,-76.63866589,73.08791556,1,1,20220809T174909_20220809T174911_T18XVG
327,100.0648142,72.07038682,23,2,20230728T052651_20230728T052831_T47XNA
328,84.48605745,71.67119278,34,4,20230801T064631_20230801T064629_T44WPE
329,-110.4022093,67.90976167,23,2,20230801T191919_20230801T191913_T12WWA
330,90.06034308,72.8580033,23,2,20230803T063629_20230803T063628_T46XDF
331,-92.24621567,68.53537806,23,2,20220724T181931_20220724T181926_T15WWS
332,86.07611068,72.45267629,33,4,20230804T065631_20230804T065625_T44XPF
333,170.7790266,67.74813186,3,1,20230714T004651_20230714T004647_T59WMR
334,-148.7822369,69.00877417,24,2,20210712T215531_20210712T215532_T05WPS
335,-100.6611563,67.74189072,23,2,20230730T183929_20230730T184136_T13WFR
336,-85.59788763,78.38059844,1,1,20220801T191921_20220801T191921_T16XEN
337,-89.58341176,71.36446191,31,3,20230728T175919_20230728T175916_T16WDE
338,-179.1965819,71.31753696,22,2,20190708T000619_20190708T000619_T01WDV
339,-50.20308691,66.98558035,31,3,20200702T150759_20200702T150831_T22WEV
340,-69.12997105,76.71708054,31,3,20220804T174921_20220804T174918_T19XDF
341,-110.4587185,67.54935774,2,1,20230801T191919_20230801T191913_T12WWA
342,104.0523107,74.39566893,23,2,20230807T052651_20230807T052649_T48XVH
343,-98.1807512,65.35173617,2,1,20200723T175919_20200723T180326_T14WNT
344,-46.21887524,60.99212874,33,4,20230708T143749_20230708T143751_T23VMH
345,69.67774133,69.51190878,23,2,20230805T071619_20230805T071622_T42WWC
346,-171.5433897,63.65612624,42,5,20200621T231601_20200621T231558_T02VMR
347,-74.4316763,68.66617652,32,3,20220620T165901_20220620T170128_T18WWB
348,-104.8962772,69.1041621,22,2,20220616T185931_20220616T185927_T13WDS
349,-90.67777428,65.48506696,31,3,20230727T173911_20230727T173908_T15WWN
350,96.44503604,73.11422826,33,4,20230807T061639_20230807T061635_T47XMB
351,172.9028091,69.2142809,3,1,20200721T003609_20200721T003607_T59WNS
352,73.37765925,71.30588898,22,2,20230802T070629_20230802T070625_T43WDV
353,-151.7992997,68.59939088,24,2,20210804T220531_20210804T220533_T05WNS
354,-163.3255538,65.94060363,33,4,20190708T224541_20190708T224536_T03WWP
355,-86.76764464,71.41715016,1,1,20230728T175919_20230728T175916_T16WEE
356,147.1902286,72.06831665,24,2,20220710T024529_20220710T024530_T55WEV
357,-95.11664262,67.05733012,23,2,20220704T181931_20220704T181929_T15WVQ
358,-166.2996861,60.27819535,43,5,20190707T222539_20190707T222541_T03VVG
359,-70.15487582,60.31684978,33,4,20200806T155829_20200806T160601_T19VDG
360,-78.3241323,82.26183333,4,1,20230716T213041_20230716T213043_T17XNM
